Sampling,Date,EC,TDS,NDVI,NDWI,SI5,S1,Month,Year,DayOfYear,Season,Month_sin,Month_cos,Plot_ID,Risk_Level,Predicted_EC,Predicted_EC_Low,Predicted_EC_High,Predicted_Risk
plot1,2025-05-25,6.537,3.263,0.3200714,-0.33230373,0.2508670215,-11.05273877,5,2025,145,1,0.49999999999999994,-0.8660254037844387,1.0,Low,9.69,6.33,19.63,High
plot2,2025-05-25,19.627,9.803,0.24870645,-0.285055,0.2606373342,-11.45610086,5,2025,145,1,0.49999999999999994,-0.8660254037844387,2.0,High,15.31,6.54,19.63,High
plot3,2025-05-25,14.197,7.073,0.28195697,-0.30243856,0.2497717358,-12.04151462,5,2025,145,1,0.49999999999999994,-0.8660254037844387,3.0,High,14.38,6.54,19.63,High
plot4,2025-05-25,9.34,4.66,0.26825842,-0.29138362,0.2667939654,-12.74727392,5,2025,145,1,0.49999999999999994,-0.8660254037844387,4.0,Moderate,11.37,7.8,19.63,Moderate
plot5,2025-05-25,16.207,8.063,0.24805263,-0.27048457,0.2850136839,-12.54975341,5,2025,145,1,0.49999999999999994,-0.8660254037844387,5.0,High,14.4,7.8,16.21,High
plot6,2025-05-25,12.74,6.41,0.15227851,-0.19349164,0.3408680463,-13.14306438,5,2025,145,1,0.49999999999999994,-0.8660254037844387,6.0,High,12.25,7.45,14.96,High
plot7,2025-05-25,7.977,4.0,0.24092053,-0.25879994,0.2673348182,-14.53605593,5,2025,145,1,0.49999999999999994,-0.8660254037844387,7.0,Low,8.56,7.8,14.3,Low
plot8,2025-05-25,7.803,3.903,0.2428521,-0.27491626,0.2760455126,-14.00481795,5,2025,145,1,0.49999999999999994,-0.8660254037844387,8.0,Low,8.46,7.8,16.21,Low
plot9,2025-05-25,8.72,4.373,0.21905096,-0.24376954,0.2926294585,-14.60788431,5,2025,145,1,0.49999999999999994,-0.8660254037844387,9.0,Moderate,8.52,5.94,8.75,Moderate
plot1,2025-07-22,2.484,1.242,0.19505577,-0.2592122,0.3443080016,-15.16414437,7,2025,203,2,-0.4999999999999997,-0.8660254037844388,1.0,Low,4.11,2.48,10.5,Low
plot2,2025-07-22,7.447,3.723,0.16207597,-0.23475046,0.3577682211,-17.47621578,7,2025,203,2,-0.4999999999999997,-0.8660254037844388,2.0,Low,7.83,2.48,12.74,Low
plot3,2025-07-22,7.47,3.735,0.21372364,-0.24708927,0.3311528348,-16.58725837,7,2025,203,2,-0.4999999999999997,-0.8660254037844388,3.0,Low,7.02,2.48,10.5,Low
plot4,2025-07-22,4.463,2.232,0.19921492,-0.24778761,0.3240288876,-13.35356031,7,2025,203,2,-0.4999999999999997,-0.8660254037844388,4.0,Low,5.78,4.36,10.5,Low
plot5,2025-07-22,10.497,5.248,0.18477553,-0.23499492,0.3348409175,-15.56267611,7,2025,203,2,-0.4999999999999997,-0.8660254037844388,5.0,Moderate,9.72,4.36,12.05,Moderate
plot6,2025-07-22,11.923,5.962,0.10589363,-0.17127633,0.4296766691,-15.71187329,7,2025,203,2,-0.4999999999999997,-0.8660254037844388,6.0,Moderate,11.48,7.45,14.96,Moderate
plot7,2025-07-22,14.96,7.48,0.18298447,-0.22689076,0.3131427789,-15.88136883,7,2025,203,2,-0.4999999999999997,-0.8660254037844388,7.0,High,13.26,7.37,14.96,High
plot8,2025-07-22,5.937,2.968,0.20430107,-0.2414271,0.3178719239,-14.48028289,7,2025,203,2,-0.4999999999999997,-0.8660254037844388,8.0,Low,6.49,4.46,10.57,Low
plot9,2025-07-22,12.053,6.027,0.18363403,-0.2271209,0.342637155,-14.93422454,7,2025,203,2,-0.4999999999999997,-0.8660254037844388,9.0,High,11.22,4.46,14.96,High
